name,scientific name,size,difficulty,min. Tank size,specific gravity,PH,temperature,water hardness,stocking ratio,diet,life span,origin,family
Brown Puffer (,Pao turgidus,"14-15.2cm (5.5-6  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 7.8
","23.3-26.7°C (74 -80  °F)
","5-12 °d
","1:1 M:F
",Carnivore,"8-10 years
",Asia,"Tetraodontidae
"
Bubu,,,,,,,,,,,,,
Bigmouth Buffalo (,Ictiobus cyprinellus,"120-123  cm (47.2-48.4"")
",Moderate,"1703 Litres (450   US G.)
","Freshwater  
","7.0 - 8.5
","12.8-18.3°C (55 -65  °F)
","8-15 °d
","1:1 M:F
",Carnivore,"4-20 years
",North America,"Catostomidae
"
Category:Habitat Lake Victoria - Fish,,,,,,,,,,,,,
Brown-Banded Spiny Eel,,,,,,,,,,,,,
Brownae Hap,,,,,,,,,,,,,
Brown Trout,,,,,,,,,,,,,
Bubblenest Catfish,,,,,,,,,,,,,
Brown Spot Puffer,,,,,,,,,,,,,
Brown Dot Peckoltia,,,,,,,,,,,,,
Black Acara (,Cichlasoma portalegrense,"20.3-25.4cm (8-10  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.0 - 8.0
","16.1-22.8°C (61 -73  °F)
","2-18 °d
","1:1 M:F
",Carnivore,"6-10 years
",South America,"Cichlidae
"
Asiatic Knifefish (,Notopterus notopterus,"50-60  cm (19.7-23.6"")
",Challenging,"568 Litres (150   US G.)
","Freshwater  
","6.0 - 6.5
","24 -28  °C (75.2-82.4°F)
","3-8 °d
","1:1 M:F
",Carnivore,"8-12 years
",Asia,"Notopteridae
"
Brushmouth Pleco,,,,,,,,,,,,,
Brown Bullhead,,,,,,,,,,,,,
Brown Pencilfish,,,,,,,,,,,,,
Brown Spike-Tailed Paradise Fish,,,,,,,,,,,,,
Brown Puffer,,,,,,,,,,,,,
Brown-Banded Copella,,,,,,,,,,,,,
Brown Julie,,,,,,,,,,,,,
Brown Catfish,,,,,,,,,,,,,
Buenos Aires Tetra,,,,,,,,,,,,,
Carp Bream (,Abramis brama,"30-80  cm (11.8-31.5"")
",Challenging,"757 Litres (200   US G.)
", - ,"7.0 - 7.5
","10 -24  °C (50-75.2°F)
","1:3 M:F
","
",,"
",,
Brown Buffalo,,,,,,,,,,,,,
Broken-Line Killifish (,Aphyosemion ogoense,"3.8-5.1cm (1.5-2  "")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","5.0 - 6.5
","18 -22  °C (64.4-71.6°F)
","0-8 °d
","1:1 M:F
",Carnivore,"3-5 years
",Africa,"Nothobranchiidae
"
Broken Band Hillstream Loach (,Liniparhomaloptera disparis disparis,"7-8  cm (2.8-3.1"")
",Moderate,"95 Litres (25   US G.)
", - ,"6.4 - 7.5
","20 -25  °C (68-77°F)
","6-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Asia,"Balitoridae
"
Lake Victoria,,,,,,,,,,,,,
Giant Brochis (,Corydoras britskii,"7.6-8.9cm (3-3.5  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 7.0
","20 -24  °C (68-75.2°F)
","6-16 °d
","1:2 M:F
",Omnivore,"5-8 years
",South America,"Callichthyidae
"
Koi (,Cyprinus carpio carpio,"100-130  cm (39.4-51.2"")
",Moderate,"1893 Litres (500   US G.)
","Freshwater  
","6 - 8
","0 -25  °C (32-77°F)
","1:2 M:F
","
",,"
",,
Brilliant Bristlenose Pleco (,"Ancistrus sp ""L107""","11.4-13cm (4.5-5.1  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.2
","23 -25  °C (73.4-77°F)
","6-16 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Loricariidae
"
Bronze Featherback,,,,,,,,,,,,,
Mosquito Rasbora (,Boraras brigittae,"1.3-1.8cm (0.5-0.7  "")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","6.5 - 7.0
","25 -28  °C (77-82.4°F)
","8-10 °d
","1:2 M:F
",Omnivore,"4-8 years
",Indonesia,"Cyprinidae
"
Giant Gourami (,Osphronemus goramy,"60-70  cm (23.6-27.6"")
",Challenging,"1325 Litres (350   US G.)
","Freshwater  
","6.5 - 8.0
","20 -30  °C (68-86°F)
","20-25 °d
","1:1 M:F
",Carnivore,"12-25 years
",Asia,"Osphronemidae
"
Bright-Finned Slender Cichlid (,Cyprichromis leptosoma,"10-11  cm (3.9-4.3"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","8.0 - 9.0
","23 -25  °C (73.4-77°F)
","10-20 °d
","1:2-3 M:F
",Carnivore,"5-10 years
",Lake Tanganyika,"Cichlidae
"
Brown Acara,,,,,,,,,,,,,
Fairy Cichlid (,Neolamprologus brichardi,"9-10  cm (3.5-3.9"")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","7.5 - 9.0
","22.2-25°C (72 -77  °F)
","8-20 °d
","1:1 M:F
",Omnivore,"1-5 years
",Lake Tanganyika,"Cichlidae
"
Brichardi Cichlid (,Tropheus brichardi,"9-10  cm (3.5-3.9"")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","7.0 - 9.0
","24 -26  °C (75.2-78.8°F)
","10-15 °d
","1:2 M:F
",Omnivore,"3-6 years
",Lake Tanganyika,"Cichlidae
"
Bristlenose Catfish (,Ancistrus sp.,"12.7-15.2cm (5-6  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 7.5
","21.1-26.1°C (70 -79  °F)
","6-13 °d
","1:1 M:F
",,"
",,
Brichard's Synodontis (,Synodontis brichardi,"11.9-15.2cm (4.7-6  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 8.0
","22 -25  °C (71.6-77°F)
","5-19 °d
","1:1 M:F
",Omnivore,"8-20 years
",Africa,"Mochokidae
"
Brichard's Synodontis (,Synodontis brichardi,"11.9-15.2cm (4.7-6  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.0 - 8.0
","22 -25  °C (71.6-77°F)
","5-19 °d
","1:1 M:F
",Omnivore,"8-20 years
",Africa,"Mochokidae
"
Brichard's Slender Cichlid (,Teleogramma brichardi,"8-9  cm (3.1-3.5"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.0 - 7.0
","20 -23  °C (68-73.4°F)
","7-10 °d
","1:3 M:F
",Omnivore,"5-8 years
",Africa,"Cichlidae
"
Brichard's Slender Cichlid (,Teleogramma brichardi,"8-9  cm (3.1-3.5"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.0 - 7.0
","20 -23  °C (68-73.4°F)
","7-10 °d
","1:3 M:F
",Omnivore,"5-8 years
",Africa,"Cichlidae
"
Brichard's Lampeye (,Aplocheilichthys brichardi,"2-3  cm (0.8-1.2"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 6.5
","24 -29  °C (75.2-84.2°F)
","5-10 °d
","1:1 M:F
",Carnivore,"3-5 years
",Africa,"Poeciliidae
"
Broken Band Hillstream Loach,,,,,,,,,,,,,
Brichard's Chalinochromis (,Chalinochromis brichardi,"10-12  cm (3.9-4.7"")
",Challenging,"132 Litres (35   US G.)
","Freshwater  
","8.0 - 9.0
","24 -27  °C (75.2-80.6°F)
","9-19 °d
","1:1 M:F
",Carnivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Britski's Brochis,,,,,,,,,,,,,
Brilliant Bristlenose Pleco (,"Ancistrus sp ""L107""","11.4-13cm (4.5-5.1  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.2
","23 -25  °C (73.4-77°F)
","6-16 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Loricariidae
"
Brilliant Bristlenose Pleco (,"Ancistrus sp ""L107""","11.4-13cm (4.5-5.1  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.2
","23 -25  °C (73.4-77°F)
","6-16 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Loricariidae
"
Broken-Line Killifish,,,,,,,,,,,,,
Brilliant Bristlenose Pleco,,,,,,,,,,,,,
Brocaded Carp,,,,,,,,,,,,,
Brevis Shell Dweller (,Neolamprologus brevis,"5-6  cm (2-2.4"")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","8.0 - 9.0
","23 -25  °C (73.4-77°F)
","9-19 °d
","1:1 M:F
",Omnivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Bronze Bream,,,,,,,,,,,,,
Brichardi Cichlid,,,,,,,,,,,,,
Giant Gourami,,,,,,,,,,,,,
Bristlenose Catfish,,,,,,,,,,,,,
Brigitte Rasbora,,,,,,,,,,,,,
Bright-Finned Slender Cichlid,,,,,,,,,,,,,
Brichard's Teleo,,,,,,,,,,,,,
Brichard's Chalinochromis,,,,,,,,,,,,,
Brichard's Synodontis,,,,,,,,,,,,,
Brichard's Syno,,,,,,,,,,,,,
Brichardi,,,,,,,,,,,,,
Brichard's Lampeye,,,,,,,,,,,,,
Brichard's Slender Cichlid,,,,,,,,,,,,,
Pretty Pleco (,Dekeyseria pulchra,"8.9-10.2cm (3.5-4  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 8.0
","24 -28  °C (75.2-82.4°F)
","5-19 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Loricariidae
"
Brevis Dwarf Cichlid (,Apistogramma brevis,"3-3.8cm (1.2-1.5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.0
","25.6-27.8°C (78 -82  °F)
","1-5 °d
","1:1 M:F
",Omnivore,"3-5 years
",South America,"Cichlidae
"
Brazilian Jahu Catfish (,Zungaro jahu,"120-140  cm (47.2-55.1"")
",Moderate,"1325 Litres (350   US G.)
","Freshwater  
","6.5 - 7.5
","22 -28  °C (71.6-82.4°F)
","5-8 °d
","1:1 M:F
",Omnivore,"10-14 years
",South America,"Pimelodidae
"
Brevis Shell Dweller,,,,,,,,,,,,,
Brandti Piranha (,Serrasalmus brandtii,"21-30  cm (8.3-11.8"")
",Challenging,"454 Litres (120   US G.)
","Freshwater  
","5.5 - 7.5
","23 -28  °C (73.4-82.4°F)
","5-10 °d
","1:1 M:F
",Carnivore,"12-18 years
",South America,"Characidae
"
L184,,,,,,,,,,,,,
L107,,,,,,,,,,,,,
Polka Dot Loach (,Botia kubotai,"10-12  cm (3.9-4.7"")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.8 - 8
","24 -28  °C (75.2-82.4°F)
","2-10 °d
","1:1 M:F
",Omnivore,"3-4 years
",Asia,"Cobitidae
"
Boulenger's Cichlid (,Neolamprologus boulengeri,"5.1-7.6cm (2-3  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","7.5 - 8.5
","24 -26  °C (75.2-78.8°F)
","6-10 °d
","1:1 M:F
",Omnivore,"3-5 years
",Lake Tanganyika,"Cichlidae
"
Boulenger's Featherfin Tetra (,Bryconaethiops boulengeri,"15-25  cm (5.9-9.8"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 8.0
","22 -27  °C (71.6-80.6°F)
","6-10 °d
","1:2 M:F
",Omnivore,"5-8 years
",Africa,"Alestidae
"
Bouderius Armourhead Catfish (,Cranoglanis bouderius,"38.1-43.2cm (15-17  "")
",Moderate,"568 Litres (150   US G.)
","Freshwater  
","6.5 - 7.5
","25 -28  °C (77-82.4°F)
","6-16 °d
","1:1 M:F
",Omnivore,"3-10 years
",Asia,"Cranoglanididae
"
Bottlenose Catfish (,Ageneiosus marmoratus,"25.4-30.5cm (10-12  "")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","6.0 - 7.0
","22.8-26.1°C (73 -79  °F)
","3-10 °d
","1:1 M:F
",Omnivore,"8-15 years
",South America,"Auchenipteridae
"
Bowfin (,Amia calva,"100-110  cm (39.4-43.3"")
",Moderate,"568 Litres (150   US G.)
","Freshwater  
","6.6 - 7.2
","22.2-23.9°C (72 -75  °F)
","8-12 °d
","1:1 M:F
",Carnivore,"10-12 years
",North America,"Amiidae
"
Borneo Knifefish (,Chitala borneensis,"35-40  cm (13.8-15.7"")
",Challenging,"568 Litres (150   US G.)
","Freshwater  
","6.2 - 7.2
","22 -25  °C (71.6-77°F)
","6-16 °d
","1:1 M:F
",Carnivore,"8-12 years
",Asia,"Notopteridae
"
Bornean Red Eye Puffer (,Carinotetraodon borneensis,"4-5  cm (1.6-2"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.8
","23.3-26.7°C (74 -80  °F)
","5-12 °d
","1:1 M:F
",Carnivore,"8-10 years
",Asia,"Tetraodontidae
"
Bornean Eye Spot Silver Shark (,Labiobarbus ocellatus,"18-22  cm (7.1-8.7"")
",Moderate,"250   Litres (66)
","Freshwater  
","7.2 - 7.5
","23.9-25.6°C (75 -78  °F)
","5-12 °d
","1:1 M:F
",Omnivore,"5-10 years
",Asia,"Cyprinidae
"
Borelli's Dwarf Cichlid (,Apistogramma borellii,"5.1-7.9cm (2-3.1  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6 - 8.0
","10 -27  °C (50-80.6°F)
","3-12 °d
","1:1-3 M:F
",Omnivore,"3-5 years
",South America,"Cichlidae
"
Foersch's Fire Barb (,Desmopuntius foerschi,"5-6  cm (2-2.4"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","4.0 - 7.0
","22.8-27.8°C (73 -82  °F)
","1-10 °d
","1:2 M:F
",Omnivore,"5-8 years
",Indonesia,"Cyprinidae
"
Bony Snouted Gudgeon (,Butis butis,"12-15  cm (4.7-5.9"")
",Challenging,"95 Litres (25   US G.)
", - ,"7.0 - 8.0
","22 -28  °C (71.6-82.4°F)
","9-19 °d
","1:1 M:F
",Carnivore,"8-12 years
",Indo-Pacific,"Eleotridae
"
Borna Snakehead (,Channa amphibeus,"50-90  cm (19.7-35.4"")
",Challenging,"1136 Litres (300   US G.)
","Freshwater  
","7.0 - 8.0
","23 -27  °C (73.4-80.6°F)
","6-16 °d
","1:1 M:F
",Carnivore,"8-15 years
",Asia,"Channidae
"
Brazilian Jahu Catfish,,,,,,,,,,,,,
Brandti Piranha,,,,,,,,,,,,,
Bolt Catfish (,Aguarunichthys torosus,"30.5-34.5cm (12-13.6  "")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","5.8 - 7.2
","22 -27  °C (71.6-80.6°F)
","5-15 °d
","1:1 M:F
",Omnivore,"5-25 years
",South America,"Pimelodidae
"
Brevis Dwarf Cichlid,,,,,,,,,,,,,
Bolivian Ram (,Mikrogeophagus altispinosus,"7.6-10.2cm (3-4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.0
","24 -27  °C (75.2-80.6°F)
","5-10 °d
","1:2 M:F
",Carnivore,"3-5 years
",South America,"Cichlidae
"
Boesman's Tetra (,Hemigrammus boesemani,"2.7-4  cm (1.1-1.6"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 7.4
","23 -26  °C (73.4-78.8°F)
","2-16 °d
","1:2 M:F
",Omnivore,"5-10 years
",South America,"Characidae
"
Bolivian Ram (,Mikrogeophagus altispinosus,"7.6-10.2cm (3-4  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.0 - 7.0
","24 -27  °C (75.2-80.6°F)
","5-10 °d
","1:2 M:F
",Carnivore,"3-5 years
",South America,"Cichlidae
"
Brazil-Butterfly Pleco,,,,,,,,,,,,,
Boesemani Rainbowfish (,Melanotaenia boesemani,"10.2-12.7cm (4-5  "")
",Easy,"189 Litres (50   US G.)
","Freshwater  
","6.5 - 7.5
","27 -30  °C (80.6-86°F)
","9-19 °d
","2:3 M:F
",Omnivore,"4-5 years
",Asia,"Melanotaeniidae
"
Spangled Jewel Perch (,Leiopotherapon unicolor,"25-31  cm (9.8-12.2"")
",Easy,"246 Litres (65   US G.)
", - ,"4.0 - 8.6
","15 -30  °C (59-86°F)
","6-20 °d
","1:1 M:F
",Omnivore,"1-5 years
",Australia,"Terapontidae
"
Bowfin,,,,,,,,,,,,,
Bornean Red Eye Puffer,,,,,,,,,,,,,
Bornean Eye Spot Silver Shark,,,,,,,,,,,,,
Borneo Knifefish,,,,,,,,,,,,,
Boulenger's Cichlid,,,,,,,,,,,,,
Boulenger's Featherfin Tetra,,,,,,,,,,,,,
Bouderius Armourhead Catfish,,,,,,,,,,,,,
Bottlenose Catfish,,,,,,,,,,,,,
"Botia ""Angelicus""",,,,,,,,,,,,,
Bolt Catfish,,,,,,,,,,,,,
Borna Snakehead,,,,,,,,,,,,,
Borelli's Dwarf Cichlid,,,,,,,,,,,,,
Five-Banded Barb (,Desmopuntius pentazona,"3.8-5.1cm (1.5-2  "")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","5.0 - 7.0
","23.9-27.8°C (75 -82  °F)
","2-13 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cyprinidae
"
Boadzulu Cichlid (,Copadichromis boadzulu,"12-14  cm (4.7-5.5"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.5 - 8.0
","24 -26  °C (75.2-78.8°F)
","10-16 °d
","1:2 M:F
",Omnivore,"5-8 years
",Lake Malawi,"Cichlidae
"
Boomerang Barb,,,,,,,,,,,,,
Bony Snouted Gudgeon,,,,,,,,,,,,,
Spangled Jewel Perch (,Leiopotherapon unicolor,"25-31  cm (9.8-12.2"")
",Easy,"246 Litres (65   US G.)
", - ,"4.0 - 8.6
","15 -30  °C (59-86°F)
","6-20 °d
","1:1 M:F
",Omnivore,"1-5 years
",Australia,"Terapontidae
"
Boesemani Rainbowfish,,,,,,,,,,,,,
Bobby Perch,,,,,,,,,,,,,
Boesman's Tetra,,,,,,,,,,,,,
Bolivian Ram,,,,,,,,,,,,,
Bolivian Butterfly,,,,,,,,,,,,,
Berdmore's Loach (,Syncrossus berdmorei,"10-11  cm (3.9-4.3"")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","6.5 - 7.5
","22 -26  °C (71.6-78.8°F)
","10-12 °d
","1:2 M:F
",Omnivore,"5-8 years
",Asia,"Cobitidae
"
Blunt-Head Cichlid (,Tropheus moorii,"14-15  cm (5.5-5.9"")
",Difficult,"284 Litres (75   US G.)
","Freshwater  
","8.0 - 9.0
","24 -26  °C (75.2-78.8°F)
","10-25 °d
","1:2-5 M:F
",Herbivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Bluemouth Cichlid (,Amphilophus nourissati,"20.3-22.9cm (8-9  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 7.5
","26 -30  °C (78.8-86°F)
","10-35 °d
","1:2 M:F
",Omnivore,"8-10 years
",Central America,"Cichlidae
"
Bluegill (,Lepomis macrochirus,"19-41  cm (7.5-16.1"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 7.5
","1 -22  °C (33.8-71.6°F)
","10-15 °d
","1:1 M:F
",Carnivore,"8-12 years
",North America,"Centrarchidae
"
Blunt-Headed Telmat (,Telmatochromis vittatus,"8-9  cm (3.1-3.5"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","8.5 - 9.0
","24 -26  °C (75.2-78.8°F)
","10-20 °d
","1:1 M:F
",Omnivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Bluefin Killifish (,Lucania goodei,"4-6  cm (1.6-2.4"")
",Easy,"19 Litres (5   US G.)
","Freshwater  
","6.5 - 8
","10 -28  °C (50-82.4°F)
","3-15 °d
","1:2-3 M:F
",Omnivore,"3-5 years
",North America,"Fundulidae
"
Bluefin Notho (,Nothobranchius rachovii,"3.8-5.1cm (1.5-2  "")
",Challenging,"38 Litres (10   US G.)
","Freshwater  
","6.0 - 7.0
","20-23.9°C (68 -75  °F)
","3-10 °d
","1:1 M:F
",Carnivore,"1-2 years
",Africa,"Nothobranchiidae
"
Bluespotted Sunfish (,Enneacanthus gloriosus,"9-10  cm (3.5-3.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 7.5
","10 -22  °C (50-71.6°F)
","8-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",North America,"Centrarchidae
"
Blunt-Head Cichlid (,Tropheus moorii,"14-15  cm (5.5-5.9"")
",Difficult,"284 Litres (75   US G.)
","Freshwater  
","8.0 - 9.0
","24 -26  °C (75.2-78.8°F)
","10-25 °d
","1:2-5 M:F
",Herbivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Bluefin Notho (,Nothobranchius rachovii,"3.8-5.1cm (1.5-2  "")
",Challenging,"38 Litres (10   US G.)
","Freshwater  
","6.0 - 7.0
","20-23.9°C (68 -75  °F)
","3-10 °d
","1:1 M:F
",Carnivore,"1-2 years
",Africa,"Nothobranchiidae
"
Boadzulu Cichlid,,,,,,,,,,,,,
Puntius pentazona,,,,,,,,,,,,,
Bobby Cod,,,,,,,,,,,,,
Blunt-Head Cichlid,,,,,,,,,,,,,
Category:Barbs,,,,,,,,,,,,,
Category:Rasboras,,,,,,,,,,,,,
Bluefin Killifish (,Lucania goodei,"4-6  cm (1.6-2.4"")
",Easy,"19 Litres (5   US G.)
","Freshwater  
","6.5 - 8
","10 -28  °C (50-82.4°F)
","3-15 °d
","1:2-3 M:F
",Omnivore,"3-5 years
",North America,"Fundulidae
"
Bluefin Killifish (,Lucania goodei,"4-6  cm (1.6-2.4"")
",Easy,"19 Litres (5   US G.)
","Freshwater  
","6.5 - 8
","10 -28  °C (50-82.4°F)
","3-15 °d
","1:2-3 M:F
",Omnivore,"3-5 years
",North America,"Fundulidae
"
Blyth's Loach,,,,,,,,,,,,,
Electric Blue Johannii (,Melanochromis johannii,"8-10  cm (3.1-3.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","8.0 - 8.7
","22 -25  °C (71.6-77°F)
","9-19 °d
","1:3 M:F
",Omnivore,"5-8 years
",Lake Malawi,"Cichlidae
"
Bluemouth Cichlid,,,,,,,,,,,,,
Black Barred Myleus (,Myleus schomburgkii,"40-42  cm (15.7-16.5"")
",Challenging,"400   Litres (105.7)
","Freshwater  
","5.0 - 7.0
","23 -27  °C (73.4-80.6°F)
","8-10 °d
","1:2 M:F
",Omnivore,"8-12 years
",South America,"Characidae
"
Blunthead Cichlid,,,,,,,,,,,,,
Black Pacu (,Colossoma macropomum,"108-110  cm (42.5-43.3"")
",Difficult,"1893 Litres (500   US G.)
","Freshwater  
","5.0 - 7.8
","22 -28  °C (71.6-82.4°F)
","10-20 °d
","1:1 M:F
",Omnivore,"12-25 years
",South America,"Characidae
"
Bluefin Nothobranch,,,,,,,,,,,,,
Bluespotted Sunfish,,,,,,,,,,,,,
Bluegill,,,,,,,,,,,,,
Bluefin Notho,,,,,,,,,,,,,
Bark Catfish,,,,,,,,,,,,,
Pacu,,,,,,,,,,,,,
Blunt-Headed Telmat,,,,,,,,,,,,,
Barramundi Perch,,,,,,,,,,,,,
Bluefin Killie,,,,,,,,,,,,,
Bluegrey Mbuna,,,,,,,,,,,,,
Bluefin Topminnow,,,,,,,,,,,,,
Ticto Barb (,Pethia ticto,"7.6-10.2cm (3-4  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","6.5 - 7.0
","14 -22  °C (57.2-71.6°F)
","8-10 °d
","1:3 M:F
",Carnivore,"3-5 years
",Asia,"Cyprinidae
"
Three-Spot Barb (,Barbus candens,"3-3.5  cm (1.2-1.4"")
",Moderate,"45 Litres (12   US G.)
","Freshwater  
","5.0 - 6.0
","24 -26  °C (75.2-78.8°F)
","1-2 °d
","1:2 M:F
",Carnivore,"5-8 years
",Africa,"Cyprinidae
"
Titan Barb (,Pethia tiantian,"4-4.5  cm (1.6-1.8"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","7.2 - 7.8
","22 -28  °C (71.6-82.4°F)
","5-15 °d
","1:2 M:F
",Omnivore,"3-4 years
",Asia,"Cyprinidae
"
Tiger Barb (,Puntigrus tetrazona,"6.4-7.6cm (2.5-3  "")
",Easy,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","23.3-26.1°C (74 -79  °F)
","5-10 °d
","2:3 M:F
",Omnivore,"5-7 years
",Asia,"Cyprinidae
"
Disk Tetra,,,,,,,,,,,,,
Indian Glassfish (,Parambassis ranga,"6.1-7.9cm (2.4-3.1  "")
",Moderate,"95 Litres (25   US G.)
", - ,"7.0 - 8.0
","20 -30  °C (68-86°F)
","9-19 °d
","1:1 M:F
",Carnivore,"5-6 years
",Asia,"Ambassidae
"
Sucker Barb (,Barbichthys laevis,"25-30  cm (9.8-11.8"")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","6.0 - 7.0
","23 -26  °C (73.4-78.8°F)
","5-10 °d
","1:2 M:F
",Herbivore,"5-8 years
",Asia,"Cyprinidae
"
Category:Bichirs,,,,,,,,,,,,,
Black Pacu,,,,,,,,,,,,,
Dimidiatus Dwarf Cichlid (,Congochromis dimidiatus,"5-6  cm (2-2.4"")
",Challenging,"76 Litres (20   US G.)
","Freshwater  
","4.0 - 6.0
","22 -25  °C (71.6-77°F)
","0-3 °d
","1:1 M:F
",Omnivore,"4-5 years
",Africa,"Cichlidae
"
Lemon Fin Barb (,Hypsibarbus wetmorei,"20-25  cm (7.9-9.8"")
",Challenging,"284 Litres (75   US G.)
","Freshwater  
","7.0 - 7.2
","22 -25  °C (71.6-77°F)
","10-15 °d
","1:1 M:F
",Omnivore,"18-20 years
",Asia,"Cyprinidae
"
Brown Julie (,Julidochromis dickfeldi,"8.9-10.2cm (3.5-4  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","7.5 - 8.5
","22.8-27.2°C (73 -81  °F)
","10-20 °d
","1:1 M:F
",Carnivore,"2-5 years
",Lake Tanganyika,"Cichlidae
"
Brown Julie (,Julidochromis dickfeldi,"8.9-10.2cm (3.5-4  "")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","7.5 - 8.5
","22.8-27.2°C (73 -81  °F)
","10-20 °d
","1:1 M:F
",Carnivore,"2-5 years
",Lake Tanganyika,"Cichlidae
"
Lace Gourami (,Trichogaster leeri,"10-12  cm (3.9-4.7"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 8.0
","24 -28  °C (75.2-82.4°F)
","5-19 °d
","1:2 M:F
",Carnivore,"5-6 years
",Asia,"Osphronemidae
"
Pittier's Tetra (,Moenkhausia pittieri,"5.1-7.1cm (2-2.8  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.0
","24 -28  °C (75.2-82.4°F)
","5-12 °d
","1:2 M:F
",Carnivore,"3-5 years
",South America,"Characidae
"
Diadem Cichlid (,Aequidens diadema,"7.6-10.2cm (3-4  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","4.9 - 7.0
","24 -26  °C (75.2-78.8°F)
","1-13 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Cichlidae
"
Dhonti Syno (,Synodontis dhonti,"30.5-40.6cm (12-16  "")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","7.5 - 8.2
","23 -27  °C (73.4-80.6°F)
","4-25 °d
","1:1 M:F
",Omnivore,"5-10 years
",Lake Tanganyika,"Mochokidae
"
Titan Barb,,,,,,,,,,,,,
Three-Spot Barb,,,,,,,,,,,,,
Stoliczkae's Barb (,Pethia stoliczkana,"4.5-5  cm (1.8-2"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6.5 - 7.2
","23 -26  °C (73.4-78.8°F)
","6-16 °d
","1:2 M:F
",Omnivore,"3-5 years
",Asia,"Cyprinidae
"
